Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SsdSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;44999;52 999;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Honor;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
MSI;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
MSI;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Honor;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
HUAWEI;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
MSI;MateBook 16;104999;114 999;1;Windows 11 Домашняя;14;nan;nan;Core i9;nan;nan;Intel Iris Xe Graphics;16;60;1000;16;LPDDR5;1;алюминий;nan;1.99
Maibenben;Modern 14 ;nan;41 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;алюминий;nan;1.3
HUAWEI;Maibenben X568;nan;109 999;1;Linux;8;nan;nan;Intel Core i7-11800H;2.3;nan;Intel UHD Graphics;15.6;165;512;16;DDR4;1;магниевый сплав;nan;1.93
AORUS;MateBook D 15 ;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;алюминий;nan;1.53
Apple;AORUS 5 ;nan;139 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;3.5;nan;Intel Iris Xe Graphics;15.6;240;1000;16;DDR4;1;пластик;nan;2.3
MSI;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
MSI;GE77 ;178499;209 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;360;2000;32;DDR4;1;алюминий;nan;2.9
Honor;Modern 15 ;56099;65 999;1;Windows 11 Домашняя;10;nan;nan;Core i7;nan;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.7
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;14;60;512;8;DDR4;1;алюминий;nan;1.38
MSI;MacBook Pro;124699;135 499;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 10-core;13.3;60;512;8;DDR4;1;алюминий;nan;1.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
Echips;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Honor;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
HUAWEI;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
MSI;MateBook 16;104999;114 999;1;Windows 11 Домашняя;14;nan;nan;Core i9;nan;nan;Intel Iris Xe Graphics;16;60;1000;16;LPDDR5;1;алюминий;nan;1.99
Maibenben;Modern 14 ;nan;41 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;алюминий;nan;1.3
HUAWEI;Maibenben X568;79199;109 999;1;Linux;8;nan;nan;Intel Core i7-11800H;2.3;nan;Intel UHD Graphics;15.6;165;512;16;DDR4;1;магниевый сплав;nan;1.93
AORUS;MateBook D 15 ;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;алюминий;nan;1.53
Apple;AORUS 5 ;nan;139 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;3.5;nan;Intel Iris Xe Graphics;15.6;240;1000;16;DDR4;1;пластик;nan;2.3
MSI;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
MSI;GE77 ;178499;209 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;360;2000;32;DDR4;1;алюминий;nan;2.9
Honor;Modern 15 ;56099;65 999;1;Windows 11 Домашняя;10;nan;nan;Core i7;nan;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.7
AORUS;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;14;60;512;8;DDR4;1;алюминий;nan;1.38
MSI;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
AORUS;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
MSI;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Apple;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
Honor;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
HUAWEI;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
MSI;MateBook 16;104999;114 999;1;Windows 11 Домашняя;14;nan;nan;Core i9;nan;nan;Intel Iris Xe Graphics;16;60;1000;16;LPDDR5;1;алюминий;nan;1.99
Maibenben;Modern 14 ;nan;41 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;алюминий;nan;1.3
HUAWEI;Maibenben X568;79199;109 999;1;Linux;8;nan;nan;Intel Core i7-11800H;2.3;nan;Intel UHD Graphics;15.6;165;512;16;DDR4;1;магниевый сплав;nan;1.93
AORUS;MateBook D 15 ;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;алюминий;nan;1.53
Apple;AORUS 5 ;nan;139 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;3.5;nan;Intel Iris Xe Graphics;15.6;240;1000;16;DDR4;1;пластик;nan;2.3
MSI;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
MSI;GE77 ;178499;209 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;360;2000;32;DDR4;1;алюминий;nan;2.9
AORUS;Modern 15 ;56099;65 999;1;Windows 11 Домашняя;10;nan;nan;Core i7;nan;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.7
AORUS;AORUS 15 ;nan;139 999 ?;2;не установлена;14;nan;nan;Intel Core i7-12700H;3.5;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
AORUS;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
AORUS;AORUS 15 ;nan;139 999 ?;2;не установлена;14;nan;nan;Intel Core i7-12700H;3.5;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
MSI;AORUS 15;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Honor;MacBook Pro;nan;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
HUAWEI;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
MSI;MateBook 16;104999;114 999;1;Windows 11 Домашняя;14;nan;nan;Core i9;nan;nan;Intel Iris Xe Graphics;16;60;1000;16;LPDDR5;1;алюминий;nan;1.99
Maibenben;Modern 14 ;nan;41 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;алюминий;nan;1.3
HUAWEI;Maibenben X568;79199;109 999;1;Linux;8;nan;nan;Intel Core i7-11800H;2.3;nan;Intel UHD Graphics;15.6;165;512;16;DDR4;1;магниевый сплав;nan;1.93
AORUS;MateBook D 15 ;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;3;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;алюминий;nan;1.53
Apple;AORUS 5 ;nan;139 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;3.5;nan;Intel Iris Xe Graphics;15.6;240;1000;16;DDR4;1;пластик;nan;2.3
MSI;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
MSI;GE77 ;178499;209 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;360;2000;32;DDR4;1;алюминий;nan;2.9
Honor;Modern 15 ;56099;65 999;1;Windows 11 Домашняя;10;nan;nan;Core i7;nan;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.7
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;14;60;512;8;DDR4;1;алюминий;nan;1.38
Honor;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
AORUS;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
AORUS;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
AORUS;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
MSI;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
AORUS;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;AORUS 15 ;nan;"149 999 ?
от 14 622 ?/ мес.";2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;"28 999 ?
от 2 827 ?/ мес.";1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
AORUS;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
AORUS;AORUS 15 ;nan;"149 999 ?
от 14 622 ?/ мес.";2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
MSI;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Echips;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
MSI;Echips Envy;nan;28 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Celeron J4125;2;nan;Intel UHD Graphics 600;15.6;60;240;8;LPDDR4;1;пластик;nan;2
MSI;GE77 ;254999;299 999;2;Windows 11 Домашняя;16;nan;nan;Core i9;nan;nan;Intel UHD Graphics;17.3;240;2000;32;DDR5;1;пластик;nan;2.9
MSI;Stealth 15M ;109799;121 999;2;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;15.6;144;1000;16;DDR4;1;алюминий;nan;1.8
Honor;GE77 ;94499;104 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Apple;MagicBook X ;nan;54 999 ?;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10210U;1.6;nan;Intel UHD Graphics;15.6;60;512;8;DDR4;1;алюминий;nan;1.56
Honor;MacBook Pro;156399;169 999;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
AORUS;MagicBook 16 ;nan;79 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;16.1;60;512;16;DDR4;1;алюминий;nan;1.84
MSI;AORUS 15 ;nan;149 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;15.6;165;1000;16;DDR4;1;пластик;nan;2.4
Apple;Modern 15 ;44999;52 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.75
Maibenben;MacBook Pro;124699;135 499;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 10-core;13.3;60;512;8;DDR4;1;алюминий;nan;1.4
MSI;Maibenben X568;114999;134 999;1;не установлена;8;nan;nan;Intel Core i7-11800H;2.3;nan;Intel UHD Graphics;15.6;165;512;16;DDR4;1;магниевый сплав;nan;1.93
MSI;Prestige 14 ;71999;79 999;1;Windows 11 Домашняя;12;nan;nan;Core i5;1.7;nan;Intel Iris Xe Graphics;14;60;512;16;LPDDR4x;1;алюминий;nan;1.29
MSI;Modern 14 ;46699;54 999;1;Windows 11 Домашняя;10;nan;nan;Core i5;nan;nan;Intel Iris Xe Graphics;14;60;512;16;DDR4;1;пластик;nan;1.4
Honor;Katana GF76 ;79199;87 999;1;Windows 11 Домашняя;8;nan;nan;Core i5;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Acer;MagicBook X ;nan;49 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Core i3-10110U;2.1;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;алюминий;nan;1.38
MSI;Echips Envy;79999;89 999;1;Windows 11 Домашняя;6;nan;nan;AMD Ryzen 5 5500U;2.1;nan;AMD Radeon Graphics;15.6;144;512;8;DDR4;1;пластик;nan;2.15
MSI;Katana GF76 ;71999;79 999;1;не установлена;8;nan;nan;Intel Core i5-12450H;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
Acer;Summit E13 ;107999;119 999;1;Windows 11 Pro;14;nan;nan;Intel Core i7-1280P;1.8;nan;Intel Iris Xe Graphics;13.4;120;512;16;LPDDR5;1;алюминий;nan;1.35
Apple;Aspire 5;nan;54 999 ?;1;Windows 10 Домашняя;6;nan;nan;AMD Ryzen 5 5500U;2.1;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
Apple;MacBook Air;80999;87 999;1;macOS;8;nan;nan;Apple M1;nan;nan;Apple M1 7-core;13.3;60;256;8;DDR4;1;алюминий;nan;1.29
MSI;MacBook Pro;104899;113 999;1;macOS;8;nan;nan;Apple M2;nan;nan;Apple M2 10-core;13.3;60;256;8;DDR4;1;алюминий;nan;1.4
MSI;Prestige 14 ;89099;98 999;1;Windows 11 Домашняя;14;nan;nan;Core i7;1.8;nan;Intel Iris Xe Graphics;14;60;512;16;LPDDR4x;1;алюминий;nan;1.29
MSI;Katana GF76 ;89999;99 999;1;Windows 11 Домашняя;10;nan;nan;Core i7;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
HUAWEI;Vector GP66 ;188999;209 999;1;не установлена;14;nan;nan;Intel Core i7-12700H;2.3;nan;Intel Iris Xe Graphics;15.6;240;1000;16;DDR4;1;пластик;nan;2.38
MSI;MateBook X Pro ;119999;131 999;1;Windows 11 Домашняя;12;nan;nan;Core i7;nan;nan;Intel Iris Xe Graphics;14.2;90;1000;16;LPDDR5;1;магниевый сплав;nan;1.26
MSI;Prestige 14 ;80999;89 999;1;Windows 11 Домашняя;12;nan;nan;Core i5;1.7;nan;Intel Iris Xe Graphics;14;60;512;16;LPDDR4x;1;алюминий;nan;1.29
MSI;Summit E16 ;93599;103 999;1;Windows 11 Pro;12;nan;nan;Intel Core i5-1240P;1.7;nan;Intel Iris Xe Graphics;16;165;512;16;LPDDR5;1;алюминий;nan;1.9
MSI;Katana GF76 ;79199;87 999;1;не установлена;10;nan;nan;Intel Core i7-12650H;nan;nan;Intel UHD Graphics;17.3;144;512;16;DDR4;1;пластик;nan;2.6
GIGABYTE;Modern 15 ;50099;58 999;1;Windows 11 Домашняя;10;nan;nan;Core i5;nan;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.7
Irbis;GIGABYTE AERO ;nan;164 999 ?;2;Windows 11 Pro;14;nan;nan;Intel Core i7-12700H;2.3;nan;Intel Iris Xe Graphics;16;60;1000;16;DDR5;1;алюминий;nan;2.3
Lenovo;Irbis ;nan;19 999 ?;1;Windows 10 Pro;4;nan;nan;Intel Pentium J3710;1.6;nan;Intel HD Graphics;15.6;60;нет;4;LPDDR4;1;пластик;nan;1.57
Apple;Lenovo V15 ;nan;49 999 ?;1;не установлена;6;nan;nan;AMD Ryzen 5 5500U;2.1;nan;AMD Radeon Graphics;15.6;60;512;8;DDR4;1;пластик;nan;1.7
MSI;MacBook Air;80999;87 999;1;macOS;8;nan;nan;Apple M1;nan;nan;Apple M1 7-core;13.3;60;256;8;DDR4;1;алюминий;nan;1.29
HP;Creator Z17;nan;224 999 ?;2;Windows 11 Pro;14;nan;nan;Intel Core i7-12700H;nan;nan;Intel UHD Graphics;17.3;165;1000;16;DDR5;1;алюминий;nan;2.49
